@@,itemlabel,item,startdate,enddate
+++,Jan Kadoun,,1989-12-05,1990-02-12
+++,Jiří Vít,,1990-02-12,1990-08-23
+++,Vojtěch Sedláček,Q7939877,1991-06-17,1992-07-09
+++,Jiří Kovář,Q12025296,1992-07-09,1993-07-31
+++,Igor Němec,Q12021474,1993-08-01,1996-10-31
+++,Petr Mádle,,1996-11-01,1998-01-14
+++,Roman Leszczynski,,1998-01-14,1998-08
+++,Karel Březina,Q12028152,1998-08-22,2002-07-15
+++,Jana Gavlasová,Q12023411,2002-07-16,2004-08-04
+++,Pavel Přibyl,Q12044222,2004-08-05,2004-08-20
+++,Aleš Šulc,,2004-08-20,2005-08-17
+++,Ivan Přikryl,,2005-08-17,2006-09-04
+++,Jan Novák,Q12022907,2006-09-05,2010-07-31
+++,Lubomír Poul,,2010-08-01,2013-07-24
