name,position
Petr Fiala,Prime Minister
Vít Rakušan,1st Deputy Prime Minister
Vít Rakušan,Minister of the Interior
Marian Jurečka,Deputy Prime Minister
Marian Jurečka,Minister of Labour and Social Affairs
Ivan Bartoš,Deputy Prime Minister for Digitisation
Ivan Bartoš,Minister of Regional Development
Vlastimil Válek,Deputy Prime Minister
Vlastimil Válek,Minister of Health
Zbyněk Stanjura,Minister of Finance
Jana Černochová,Minister of Defence
Pavel Blažek,Minister of Justice
Jan Lipavský,Minister of Foreign Affairs
Jozef Síkela,Minister of Industry and Trade
Martin Kupka,Minister of Transport
Vladimír Balaš,"Minister for Education, Youth and Sports"
Zdeněk Nekula,Minister of Agriculture
Anna Hubáčková,Minister for the Environment
Martin Baxa,Minister of Culture
Mikuláš Bek,Minister for European Affairs
Helena Langšádlová,"Minister of Science, Research and Innovation"
Michal Šalomoun,Minister of Legislation and chairman of the Government Legislative Council
