ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q109453202,Petr Fiala's Cabinet,,,,,,,,,Q3918409,proposal,,,,,,,,,,
,Q12060352,Q12060352,,,,,,,,,Q5015587,Government of the Czech Republic,,,,,,,Q11829744,Q11829744,,
,Q109453202,Petr Fiala's Cabinet,,,,,,,,,Q5015587,Government of the Czech Republic,,,,,,,,,,
,Q11384449,Fourth government of Josef Korčák,1981-06-18,11,,,1986-06-18,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q12060352,Q12060352,,
,Q11918698,"Government of Josef Korčák, Ladislav Adamec, František Pitra and Petr Pithart",1986-06-18,11,,,1990-06-29,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q11384449,Fourth government of Josef Korčák,Q11919180,Petr Pithart's Cabinet
,Q11919180,Petr Pithart's Cabinet,1990-06-29,11,,,1992-07-02,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q11918698,"Government of Josef Korčák, Ladislav Adamec, František Pitra and Petr Pithart",Q3562014,Václav Klaus' First Cabinet
,Q3562014,Václav Klaus' First Cabinet,1992-07-02,11,,,1996-07-04,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q11919180,Petr Pithart's Cabinet,Q11829962,Václav Klaus' Second Cabinet
,Q11829962,Václav Klaus' Second Cabinet,1996-07-04,11,,,1998-01-02,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q3562014,Václav Klaus' First Cabinet,Q11918717,Josef Tošovský's Cabinet
,Q11918717,Josef Tošovský's Cabinet,1998-01-02,11,,,1998-07-22,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q11829962,Václav Klaus' Second Cabinet,Q3112520,Miloš Zeman's cabinet
,Q3112520,Miloš Zeman's cabinet,1998-07-22,11,,,2002-07-15,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q11918717,Josef Tošovský's Cabinet,Q3112694,Vladimír Špidla's cabinet
,Q3112694,Vladimír Špidla's cabinet,2002-07-15,11,,,2004-08-04,11,,,Q5015587,Government of the Czech Republic,,,,,,,Q3112520,Miloš Zeman's cabinet,Q3112090,Stanislav Gross's cabinet
,Q3112090,Stanislav Gross's cabinet,2004-08-04,11,,,2005-04-25,11,,,Q5015587,Government of the Czech Republic,,,,,Q3112357,Jiří Paroubek's cabinet,Q3112694,Vladimír Špidla's cabinet,Q3112357,Jiří Paroubek's cabinet
,Q3112357,Jiří Paroubek's cabinet,2005-04-25,11,,,2006-09-04,11,,,Q5015587,Government of the Czech Republic,,,Q3112090,Stanislav Gross's cabinet,Q1141597,Mirek Topolánek's First Cabinet,Q3112090,Stanislav Gross's cabinet,Q1141597,Mirek Topolánek's First Cabinet
,Q1141597,Mirek Topolánek's First Cabinet,2006-09-04,11,2006-09-04,11,2007-01-09,11,2007-01-09,11,Q5015587,Government of the Czech Republic,,,Q3112357,Jiří Paroubek's cabinet,Q1855035,Mirek Topolánek's Second Cabinet,Q3112357,Jiří Paroubek's cabinet,Q1855035,Mirek Topolánek's Second Cabinet
,Q1855035,Mirek Topolánek's Second Cabinet,2007-01-09,11,,,2009-05-08,11,,,Q5015587,Government of the Czech Republic,,,Q1141597,Mirek Topolánek's First Cabinet,Q1118394,Jan Fischer's Cabinet,Q1141597,Mirek Topolánek's First Cabinet,Q1118394,Jan Fischer's Cabinet
,Q1118394,Jan Fischer's Cabinet,2009-05-08,11,,,2010-07-13,11,,,Q3773998,technocratic government,,,Q1855035,Mirek Topolánek's Second Cabinet,Q1573801,Petr Nečas's Cabinet,Q1855035,Mirek Topolánek's Second Cabinet,Q1573801,Petr Nečas's Cabinet
,Q1118394,Jan Fischer's Cabinet,2009-05-08,11,,,2010-07-13,11,,,Q5015587,Government of the Czech Republic,,,Q1855035,Mirek Topolánek's Second Cabinet,Q1573801,Petr Nečas's Cabinet,Q1855035,Mirek Topolánek's Second Cabinet,Q1573801,Petr Nečas's Cabinet
,Q1573801,Petr Nečas's Cabinet,2010-07-13,11,,,2013-07-10,11,,,Q5015587,Government of the Czech Republic,,,Q1118394,Jan Fischer's Cabinet,Q13629047,Jiří Rusnok's Cabinet,Q1118394,Jan Fischer's Cabinet,Q13629047,Jiří Rusnok's Cabinet
,Q13629047,Jiří Rusnok's Cabinet,2013-07-10,11,,,2014-01-29,11,,,Q5015587,Government of the Czech Republic,,,Q1573801,Petr Nečas's Cabinet,Q15643524,Bohuslav Sobotka's Cabinet,Q1573801,Petr Nečas's Cabinet,Q15643524,Bohuslav Sobotka's Cabinet
,Q15643524,Bohuslav Sobotka's Cabinet,2014-01-29,11,2014-01-29,11,2017-12-13,11,,,Q5015587,Government of the Czech Republic,,,Q13629047,Jiří Rusnok's Cabinet,Q44523250,Andrej Babiš' First Cabinet,Q13629047,Jiří Rusnok's Cabinet,Q44523250,Andrej Babiš' First Cabinet
,Q44523250,Andrej Babiš' First Cabinet,2017-12-13,11,,,2018-06-27,11,,,Q5015587,Government of the Czech Republic,,,Q15643524,Bohuslav Sobotka's Cabinet,Q55224909,Andrej Babiš' Second Cabinet,Q15643524,Bohuslav Sobotka's Cabinet,Q55224909,Andrej Babiš' Second Cabinet
,Q55224909,Andrej Babiš' Second Cabinet,2018-06-27,11,,,,,,,Q5015587,Government of the Czech Republic,,,Q44523250,Andrej Babiš' First Cabinet,,,Q44523250,Andrej Babiš' First Cabinet,,
